               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.032974,            0.027923,                   0,             0.81963,             0.86957,             0.85757,             0.59482,            0.027583,            0.012743,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.032898,            0.023463,                   0,             0.89144,             0.86957,             0.86835,              0.6312,            0.025209,            0.012946,                   0,            0.005644,            0.005644,            0.005644
                  90,             0.02935,            0.025005,                   0,             0.90861,             0.86474,             0.86822,             0.65714,            0.024359,            0.012778,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.035719,            0.027522,                   0,             0.90339,             0.86957,             0.86416,             0.60935,            0.026158,            0.012734,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.033241,            0.021246,                   0,             0.90339,             0.86957,             0.86416,             0.60935,            0.026158,            0.012734,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.030451,            0.021442,                   0,             0.90013,             0.86957,             0.85811,             0.65399,            0.023379,            0.012584,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.032356,            0.022976,                   0,             0.95157,             0.85474,             0.86292,             0.62339,            0.026767,            0.012272,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.035272,            0.023004,                   0,             0.95096,             0.86957,             0.86326,             0.57699,            0.024086,            0.012446,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.030518,            0.025242,                   0,             0.95096,             0.86957,             0.86326,             0.57699,            0.024086,            0.012446,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.031314,            0.024088,                   0,             0.95231,             0.86835,             0.86206,             0.65885,            0.022017,            0.012209,                   0,            0.005248,            0.005248,            0.005248
                  98,             0.02741,            0.025252,                   0,             0.84827,             0.82609,             0.84169,              0.5985,             0.02583,             0.01232,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.031933,            0.023526,                   0,             0.95234,             0.86878,             0.86395,             0.61918,             0.02411,            0.012291,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.033961,             0.02241,                   0,             0.95234,             0.86878,             0.86395,             0.61918,             0.02411,            0.012291,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.031295,            0.023217,                   0,             0.94986,             0.86957,             0.86502,             0.67029,            0.022675,            0.012305,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.032009,            0.025621,                   0,             0.87823,             0.86957,             0.84711,             0.59341,            0.024587,            0.012301,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.031753,             0.02455,                   0,             0.94992,             0.86957,             0.86456,             0.68828,            0.022272,            0.012113,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.032054,            0.024335,                   0,             0.94992,             0.86957,             0.86456,             0.68828,            0.022272,            0.012113,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.028684,            0.022026,                   0,             0.95209,             0.86427,             0.86196,             0.66731,            0.021701,            0.012325,                   0,            0.004852,            0.004852,            0.004852
